index,name,mass,px,py,vx,vy,total_fx,total_fy
 10331 Peterbluhm (1991 GM10), 10331 Peterbluhm (1991 GM10),4.34844E+17,-5.8172E+11,-1.36233E+11,3398.43628,14511.43613,0,0
 10354 Guillaumebude (1993 BU5), 10354 Guillaumebude (1993 BU5),2.86422E+17,-4.77432E+11,60085955070,-2073.701414,16477.24461,0,0
 10377 Kilimanjaro (1996 NN4), 10377 Kilimanjaro (1996 NN4),1.81533E+17,4.28063E+11,2.24733E+11,-7701.432,-14669.41653,0,0
 10379 Lake Placid (1996 OH), 10379 Lake Placid (1996 OH),2.47467E+17,-1.33949E+11,5.05969E+11,-15393.34517,4075.187863,0,0
 10386 Romulus (1996 TS15), 10386 Romulus (1996 TS15),3.56978E+17,3.78987E+11,-3.04565E+11,10349.4097,-12878.34651,0,0
 10388 Zhuguangya (1996 YH3), 10388 Zhuguangya (1996 YH3),4.82178E+17,-70205539695,-4.76041E+11,16429.64197,2423.00733,0,0
 10406 (1997 WZ29), 10406 (1997 WZ29),1.80467E+17,-4.5556E+11,1.48045E+11,-5144.389557,15830.16393,0,0
 10485 (1984 SY5), 10485 (1984 SY5),2.77689E+17,4.83346E+11,-56798668831,1927.268496,-16400.70613,0,0
 10513 (1989 TJ14), 10513 (1989 TJ14),4.072E+17,4.80313E+11,-32743496835,1129.241037,-16564.80385,0,0
 10531 (1991 GB1), 10531 (1991 GB1),4.69111E+16,9307563633,2.93351E+11,-21253.8233,-674.3493611,0,0
 10553 Stenkumla (1993 FZ4), 10553 Stenkumla (1993 FZ4),1.94622E+17,74894508493,-4.76567E+11,16385.13962,-2574.993658,0,0
 10554 Vasterhejde (1993 FO34), 10554 Vasterhejde (1993 FO34),2.43689E+17,4.51976E+11,-1.60796E+11,5574.978493,-15670.52224,0,0
 10555 Tagaharue (1993 HH), 10555 Tagaharue (1993 HH),3.52111E+17,3.64814E+11,-3.11661E+11,10802.69605,-12645.03368,0,0
 10608 Mameta (1996 VB9), 10608 Mameta (1996 VB9),5.59644E+17,47107149110,-5.95119E+11,14863.54344,-1176.535749,0,0
 10610 (1996 XR1), 10610 (1996 XR1),5.14511E+17,2.71219E+11,-5.2662E+11,13306.97378,-6853.351709,0,0
 10624 (1997 YR13), 10624 (1997 YR13),2.74911E+17,-21613832132,4.78813E+11,-16623.14084,750.3767443,0,0
